Category_1,Category_2,Full_Category_1,Full_Category_2,Both_Count,Cooccurrence_Prevalence_Percent,Mean_Score_When_Both,Importance_Score,Category_1_Count,Category_2_Count,Union_Count,Jaccard_Unweighted,Jaccard_Weighted,Jaccard_Difference,Mean_Score_Only_Cat1,Mean_Score_Only_Cat2
ask a genuine question,ask a rhetorical question,Comment_ask a genuine question,Comment_ask a rhetorical question,300,0.8267195767195766,5.0633333333333335,4.1859567901234565,4518,3868,8086,0.03710116250309176,0.03660263652832304,-0.0004985259747687237,9.408724513987671,8.632567264573991
ask a genuine question,provide a fact or claim,Comment_ask a genuine question,Comment_provide a fact or claim,2603,7.173170194003527,9.522474068382635,68.30632716049382,4518,25019,26934,0.09664364743446945,0.09553127324820009,-0.0011123741862693604,8.573368146214099,13.612285867237688
ask a genuine question,provide an observation,Comment_ask a genuine question,Comment_provide an observation,1086,2.992724867724868,9.41804788213628,28.185626102292773,4518,13470,16902,0.06425275115370963,0.06333091927257298,-0.0009218318811366477,9.025932400932401,15.216731266149871
ask a genuine question,express their opinion,Comment_ask a genuine question,Comment_express their opinion,3372,9.292328042328043,9.152135231316725,85.04464285714286,4518,30596,31742,0.10623149139940773,0.10494436693990054,-0.001287124459507183,9.026178010471204,13.249485747869526
ask a genuine question,express others opinions,Comment_ask a genuine question,Comment_express others opinions,469,1.2924382716049383,9.315565031982942,12.039792768959435,4518,5875,9924,0.04725916968964127,0.046841000403940056,-0.00041816928570121564,9.09755495183996,14.171106178320384
ask a genuine question,money aid allocation,Comment_ask a genuine question,Critique_money aid allocation,1128,3.1084656084656084,9.828014184397164,30.55004409171076,4518,8035,11425,0.0987308533916849,0.09805393508914476,-0.0006769183025401443,8.884660766961652,13.566381931373968
ask a genuine question,government critique,Comment_ask a genuine question,Critique_government critique,1331,3.667879188712522,9.508640120210368,34.876543209876544,4518,10290,13477,0.09876085182162202,0.09774614551178422,-0.0010147063098377984,8.957954188892375,14.178702980243331
ask a genuine question,societal critique,Comment_ask a genuine question,Critique_societal critique,3000,8.267195767195767,8.45,69.85780423280423,4518,26660,28178,0.10646603733409042,0.10486881020220999,-0.0015972271318804299,10.444664031620553,13.499830938292476
ask a genuine question,solutions/interventions,Comment_ask a genuine question,Response_solutions/interventions,1363,3.756062610229277,8.283932501834188,31.114969135802465,4518,9499,12654,0.10771297613402876,0.1062411577723898,-0.0014718183616389685,9.481458003169573,13.966445427728614
ask a genuine question,personal interaction,Comment_ask a genuine question,Perception_personal interaction,516,1.4219576719576719,9.924418604651162,14.112103174603172,4518,5259,9261,0.055717525105280205,0.05511865254843679,-0.000598872556843412,9.016491754122939,16.777566940754795
ask a genuine question,media portrayal,Comment_ask a genuine question,Perception_media portrayal,281,0.7743606701940035,9.594306049822064,7.429453262786596,4518,2513,6750,0.04162962962962963,0.04158200923516841,-4.762039446121885e-05,9.088742034458344,11.546594982078853
