Category,p_value,Large_Mean,Small_Mean,Bonferroni_Significant,Uncorrected_Significant
Comment_ask a genuine question,0.0401969315565744,0.11148705802740654,0.17862165963431786,False,True
Comment_ask a rhetorical question,0.9659176367214389,-0.07945322511747116,-0.08148148148148149,False,False
Comment_provide a fact or claim,3.2155563215292555e-122,0.022338325348623737,0.1908694654737325,True,True
Comment_provide an observation,3.5425226298070754e-14,0.009299464466637718,0.14193867457962414,True,True
Comment_express their opinion,1.1366137352657411e-11,0.10246560950786303,0.1743406347787215,True,True
Comment_express others opinions,2.583906019227191e-91,0.006329431858140353,0.26789366053169733,True,True
Critique_money aid allocation,0.13555119426524437,0.3743596656780803,0.3308702791461412,False,False
Critique_government critique,0.0007822657329783473,0.1476400714811311,0.0505804311774461,True,True
Critique_societal critique,0.0025236298003425695,-0.0257587964671069,0.013045098770033545,True,True
Response_solutions/interventions,0.01039316178055182,0.460056657223796,0.4189189189189189,False,True
Perception_personal interaction,0.00010262719617565038,0.0011795930404010617,0.1421188630490956,True,True
Perception_media portrayal,0.0014379458289030295,0.1528144686039423,0.3617021276595745,True,True
Perception_not in my backyard,0.009263035245154084,-0.03673072245195816,0.09245742092457421,False,True
Perception_harmful generalization,8.331258171093038e-07,-0.20657925005751093,-0.04091456077015644,True,True
Perception_deserving/undeserving,5.6007572364417e-07,-0.07284122562674095,0.06712433257055683,True,True
Racist_Flag,0.0994771094392859,-0.171875,0.42857142857142855,False,False
